,Body,Tag
115,"i know more about mssql that mysql, but i don't think the number of joins or number of rows you are talking about should cause you too many problems with the correct indexes in place.  have you analyzed the query plan to see if you are missing any   http://dev.mysql.com/doc/refman/5.0/en/explain.html  that being said, once you are satisifed with your indexes and have exhausted all other avenues, de-normalization might be the right answer.  if you just have one or two queries that are problems, a manual approach is probably appropriate, whereas some sort of data warehousing tool might be better for creating a platform to develop data cubes.  here's a site i found that touches on the subject:  http://www.meansandends.com/mysql-data-warehouse/ link_body%2fbody=%7bincl%3aaggregation%7d  here's a simple technique that you can use to keep denormalizing queries simple, if you're just doing a few at a time (and i'm not replacing your oltp tables, just creating a new one for reporting purposes).  let's say you have this query in your application:  select a.name, b.address from tbla a  join tblb b on b.fk_a_id = a.id where a.id=1   you could create a denormalized table and populate with almost the same query:  create table tbl_ab (a_id, a_name, b_address);  -- (types elided)   notice the underscores match the table aliases you use  insert tbl_ab select a.id, a.name, b.address from tbla a join tblb b on b.fk_a_id = a.id  -- no where clause because you want everything   then to fix your app to use the new denormalized table, switch the dots for underscores.    select a_name as name, b_address as address  from tbl_ab where a_id = 1;   for huge queries this can save a lot of time and makes it clear where the data came from, and you can re-use the queries you already have.  remember, i'm only advocating this as the last resort.  i bet there's a few indexes that would help you.  and when you de-normalize, don't forget to account for the extra space on your disks, and figure out when you will run the query to populate the new tables.  this should probably be at night, or whenever activity is low.  and the data in that table, of course, will never exactly be up to date.  [yet another edit]  don't forget that the new tables you create need to be indexed too   the good part is that you can index to your heart's content and not worry about update lock contention, since aside from your bulk insert the table will only see selects. ",mysql database denormalization
116,"check out the netflix contest.  i believe they exposed their database, or a large subset, to facilitate the contest.  update: their faq says they have 100 million entries in the subset you can download. ",resources dataset
117,"don't try to be as dynamic as php is. you could try to first define what you need.  interface season {     public string getdays(); }  interface user {     public season getwinter();     public season getspring();     public season getsummer();     public season getfall(); }  interface usermap {     public user getuser(string name); }   and please, read the documentation of hashtable before using it. this class is synchronized which means that each call is protected against multithreading which really slows the access when you don't need the extra protection. please use any map implementation instead like hashmap or treemap. ",java php jsp tomcat
118,"you'll want to setup launch condition in your deployment project to make sure version 2.0 sp1 is installed. you'll want to set a requirement based off the msinetassemblysupport variable, tied to the version number of .net 2.0 sp1 (2.0.50727.1433 and above according to this page.)  bootstrapping the project to actually download the framework if it isn't installed is a different matter, and there are plenty of articles out there on how to do that. ",.net-2.0 installer dependencies
119,"i believe this is what you want.  wmi code creator  a part of this nifty utility allows you to browse namespaces/classes/properties on the local and remote pcs, not to mention generating wmi code in vbscript/c#/vb on the fly.  very useful.  also, the source code used to create the utility is included in the download, which could provide a reference if you wanted to create your own browser like interface. ",vbscript wmi
120,maybe try this question at http://www.codeplex.com/n2/thread/list.aspx  they might be able to tell you about performance limitations or bottlenecks. ,asp.net performance .net-3.5 content-management-system n2
121,"you could use martin fowlers servicelocator pattern. in php it could look like this:  class servicelocator {   private static $soleinstance;   private $globalsettings;    public static function load($locator) {     self::$soleinstance = $locator;   }    public static function globalsettings() {     if ( isset(self::$soleinstance-&gt;globalsettings)) {       self::$soleinstance-&gt;setglobalsettings(new globalsettings());     }     return self::$soleinstance-&gt;globalsettings;   } }   your production code then initializes the service locator like this:  servicelocator::load(new servicelocator());   in your test-code, you insert your mock-settings like this:  servicelocator s = new servicelocator(); s-&gt;setglobalsettings(new mockglobalsettings()); servicelocator::load(s);   it's a repository for singletons that can be exchanged for testing purposes. ",language-agnostic oop
122,i use elmah.  it has some really nice features and here is a codeproject article on it.  i think the stackoverflow team uses elmah also  ,asp.net error-handling nlog health-monitoring
123,"java doesn't make this as pleasant as other languages, unfortunately. here's what i did:  import java.io.*; import java.util.*;  public class exectest {     public static void main(string[] args) throws ioexception {         process result = runtime.getruntime().exec(""traceroute -m 1 www.amazon.com"");          bufferedreader output = new bufferedreader(new inputstreamreader(result.getinputstream()));         string thisline = output.readline();         stringtokenizer st = new stringtokenizer(thisline);         st.nexttoken();         string gateway = st.nexttoken();         system.out.printf(""the gateway is %s\n"", gateway);     } }   this presumes that the gateway is the second token and not the third. if it is, you need to add an extra st.nexttoken(); to advance the tokenizer one more spot. ",java sockets ip router
124,"typically a byte array is sent as a base64 encoded string, not as individual bytes in tags.   http://en.wikipedia.org/wiki/base64  the base64 encoded version is about 137% of the size of the original content. ",xml web-services
125,lightspeed allows you to specify an inamingstrategy that lets you resolve table names dynamically at runtime. ,.net orm
126,you can actually script a fair number of tasks in ms virtual server:  http://www.microsoft.com/technet/scriptcenter/scripts/vs/default.mspx mfr=true  http://msdn.microsoft.com/en-us/library/aa368876(vs.85).aspx  also virtual pc guy has got a ton of stuff on his blog about scripting virtual server/pc and now hyper-v here:  http://blogs.msdn.com/virtual_pc_guy/default.aspx  vmware has similar capabilities:  http://www.vmware.com/support/developer/scripting-api/ ,msbuild virtualization hyper-v
127,this is because the font used in the tooltip doesn't include the characters you are trying to display. try installing a font pack that includes those characters. i'm affraid you can't do much for your site's visitors other than implementating a tooltip yourself using javascript. ,internet-explorer unicode
128," just write your file parser, using whatever techniques come to mind write lots of unit tests for it to make sure all your edge cases are covered   once you've done this, you will actually have a reasonable idea of the problem/solution.  right now you just have theories floating around in your head, most of which will turn out to be misguided.  step 3: refactor mercilessly. your aim should be to delete about half of your code  you'll find that your code at the end will either resemble an existing design pattern, or you'll have created a new one. you'll then be qualified to answer this question :-) ",design-patterns fileparse
129,"see kill all active connections to a database.  the reason that the approach that adam suggested won't work is that during the time that you are looping over the active connections new one can be established, and you'll miss those. the article i linked to uses the following approach which does not have this drawback:  -- set your current connection to use master otherwise you might get an error  use master alter database yourdatabase set single_user with rollback immediate   --do you stuff here   alter database yourdatabase set multi_user  ",sql-server sql-server-2005
130,"aside from trying out visual assistx, the only other one i've tried is resharper (which i highly recommend). if you do decide to go for resharper, you'll likely notice that it's missing a spell checker for code though - however the agent smith plugin fixes that. ",.net visual-studio
131," script combining in .net 3.5 sp1 best practices for fast websites http compression (gzip) compress js / css (different than http compression, minify javascript)  yui compressor .net yui compressor    my best advice is to check out the yui content. they have some great articles that talk about things like css sprites and have some nice javascript libraries to help reduce the number of requests the browser is making. ",asp.net ajax optimization performance
132,"why won't any old proxy software work for this   why does it need to be an asp.net application   there are tons of tools out there (both windows and *nix) that will get the job done quite easily.  check squid or netproxy for starters.  if you need to integrate with iis, iisproxy looks like it would do the trick too. ",.net asp.net iis
133,"actually it ships with .net 3.5 sp1.  so yes, the stored procs can use 3.5 features and libraries. ",sql-server sql-server-2008
134,"ah, if only c supported closures...  antonio is right; if you need to pass extra parameters, you'll need to redefine your function pointer to accept the additional arguments. if you don't know exactly what parameters you'll need, then you have at least three choices:   have the last argument in your prototype be a void*. this gives you flexibility of passing in anything else that you need, but it definitely isn't type-safe. use variadic parameters (...). given my lack of experience with variadic parameters in c, i'm not sure if you can use this with a function pointer, but this gives even more flexibility than the first solution, albeit still with the lack of type safety. upgrade to c++ and use function objects.  ",c architecture pointers
135,"last epoch is when 1970 gmt   select datediff(s,'19700101 05:00:00:000',lastmodified)   see also epoch date ",tsql sqlite date
136,"i started writing up a summary of my experience with my own code generator, then went back and re-read your question and found you had already touched upon the same issues yourself, focus on the execution results instead of the code layout/look.  problem is, this is hard to test, the generated code might not be suited to actually run in the environment of the unit test system, and how do you encode the expected results   i've found that you need to break down the code generator into smaller pieces and unit test those. unit testing a full code generator is more like integration testing than unit testing if you ask me. ",c++ python unit-testing code-generation swig
137,you can create a new group with both the apache user and ftp user as members and then make the permission on the upload folder 775.  this should give both the apache and ftp users the ability to write to the files in the folder but keep everyone else from modifying them. ,php apache upload
138,"there are multiple issues here as ikvm is currently being transitioned away from the gnu classpath system to sun's openjdk.  both are licensed as gpl+exceptions to state explicitly that applications which merely use the openjdk libraries will not be considered derived works.  generally speaking, applications which rely upon components with defined specs such as this do not fall under the gpl anyway.  for example, linking against public posix apis does not trigger gpl reliance in a linux application, despite the kernel being gpl.  a similar principal will usually (the details can be tricky) apply to replacing sun's java with a foss/gpl implementation. ",java .net ikvm gnu-classpath
139,"no specific article, really, but i've found emacswiki to be full of useful information. consider checking out these entries:   cplusplus as a starting point for many c++-related articles, and cpptemplate to define a template that can give you a good skeleton when you start new files  ",c++ emacs
140,"are you using only the dragenter method  if you are trying to reject the drag while still dragging over the same component you need to use both the dragenter and dragover methods.  check out this example:  &lt; xml version=""1.0"" encoding=""utf-8"" &gt; &lt;mx:application xmlns:mx=""http://www.adobe.com/2006/mxml"" layout=""absolute""&gt;     &lt;mx:script&gt;      &lt; [cdata[       import mx.core.dragsource;       import mx.managers.dragmanager;       import mx.events.dragevent;        private function ondragenter(e:dragevent):void {        if ( e.target == lbl ) {          if ( e.localx &lt; lbl.width/2 ) {          trace(""accept"");          dragmanager.acceptdragdrop(this);         }         else {          dragmanager.acceptdragdrop(null);         }        }       }        private function dostartdrag(e:mouseevent):void {        if ( e.buttondown ) {         var ds:dragsource = new dragsource();         ds.adddata(""test"", ""text"");          dragmanager.dodrag(btn, ds, e);        }       }      ]]&gt;     &lt;/mx:script&gt;     &lt;mx:label id=""lbl"" text=""hello world "" left=""10"" top=""10"" dragenter=""ondragenter(event)"" dragover=""ondragenter(event)"" /&gt;     &lt;mx:button id=""btn"" x=""47"" y=""255"" label=""button"" mousemove=""dostartdrag(event)""/&gt; &lt;/mx:application&gt;  ",actionscript-3 flex drag-and-drop
141,"it really depends on your view of the world - i used to be in the uncoupled camp. the dal was only there to supply data to the bal - end of story.  with emerging technologies such as linq to sql and entity framework becoming a bit more popular, then the line between dal and bal have been blurred a bit. in l2s especially your dal is quite tightly coupled to the business objects as the object model has a 1-1 mapping to your database field.  like anything in software development there is no right or wrong answer. you need to understand your requirements and future requirments and work from there. i would no more use a ferrari on the dakhar rally as i would a range rover on a track day. ",.net n-tier
142,"for azman with asp.net, turn on impersonation in web.config (&lt;identity impersonate=""true"" username=""xx"" pasword=""xx"" /&gt;), and make sure with an ad administrator that the impersonation account has ""reader"" permissions on the azman store; plus, give write permissions to this account on the temporary asp.net files folder (under c:\windows\microsoft.net\&lt;framework&gt;). ",c# winforms authorization adam azman
143,"you should use atexit() if possible.  on_exit() is nonstandard and less common.  for example, it's not available on os x.  kernel.org - on_exit():     this function comes from sunos 4, but is also present in libc4, libc5 and   glibc.  it no longer occurs in solaris (sunos 5).  avoid this function, and   use the standard atexit(3) instead.  ",c linux
144,"the idea behind using the threadpool is that through it you can control the amount of synchronous threads, and if those get too many, then the thread pool automatically manages the waiting of newer threads.  the asp.net worked thread (afaik) doesn't come from the thread pool and shouldn't get affected by your call to the remoting service (unless this is a very slow processor, and your remoting function is very cpu intensive - in which case, everything on your computer will be affected).  you could always host the remoting service on a different physical server. in that case, your asp.net worker thread will be totally independent of your remoting call (if the remoting call is called on a separate thread that is). ",c# .net-3.5 .net-2.0 remoting rpc
145,"boost, for c++ ",regex
146,"the biggest performance boost you can get is by partitioning tables/indexes onto different disks. the first step would be to put indexes on one disk and data on an other. after this you should consider which tables/indexes are used together, and put them on separate disks (""spindles"") when possible. ",database hardware storage raid disk
147,the short answer is that early (or static) binding refers to compile time binding and late (or dynamic) binding refers to runtime binding (for example when you use reflection). ,binding dynamic-binding static-binding
148,"here's an overview of the flow in mvc:   /new - render your ""new"" view containing a form for the user to fill out user fills out form and it is posted to /create the post is routed to the create action on your controller in your action method, update the model with the data that was posted. your model should validate itself. your controller should read if the model is valid. if the model is valid, save it to your db.  redirect to /show to render the show view for your object. if the model is invalid, save the form values and error messages in the tempdata, and redirect to the new action again.  fill your form fields with the data from tempdata and show the error message(s).   the validation frameworks will help you along in this process.  also, i think the asp.net mvc team is planning a validation framework for the next preview. ",asp.net-mvc validation
149,"for asp.net, you have a lot of improvements:   split view (code and design) faster switching between code and design view embedded master pages (one master page in another) javascript debugging   anyway most of the useful stuff are really in the meat of the language, and for .net 3.5 the new language features for c# 3.0 will be (and yes, i find all of them useful)   anonymous objects automatic properties object initializers collection initializers (inline initialization for collections) implicit typing (var keyword) lambda expressions linq extension methods   i might have forgotten a few, but i think this is about most of the new cool and useful stuff. ",asp.net
150,"yes, it depends on language, since string storage differs between languages.   pascal-type strings: length = 0. c-style strings: [0] == 0.  .net: .isnullorempty.   etc.  ",string optimization language-agnostic compiler-construction
151,"on ms sql server 2005 and above, row_number() seems to work:  t-sql: paging with row_number()  declare @pagenum as int; declare @pagesize as int; set @pagenum = 2; set @pagesize = 10;  with ordersrn as (     select row_number() over(order by orderdate, orderid) as rownum           ,orderid           ,orderdate           ,customerid           ,employeeid       from dbo.orders )  select *    from ordersrn  where rownum between (@pagenum - 1) * @pagesize + 1                    and @pagenum * @pagesize  order by orderdate          ,orderid;  ",.net sql linq pagination
152,"   what specifically does that question mean    good question.  if reversing the ""on"" bits means reversing only the bits that are ""on"", then you will always get 0, no matter what the input is.  if it means reversing all the bits, i.e. changing all 1s to 0s and all 0s to 1s, which is how i initially read it, then that's just a bitwise not, or complement.  c-based languages have a complement operator, ~, that does this.  for example:  unsigned char b = 102;      /* 0x66, 01100110 */ unsigned char reverse = ~b; /* 0x99, 10011001 */  ",language-agnostic
153,"you could also try drscheme, which whilst not exactly a standalone interpreter, isn't emacs :)  it's basically a simple ide that has an area to type in code that can be executed as a file, and then another area that is the running interpreter that you can interact with.  (also, find the uc berkeley cs61a podcasts and listen to them, as well as reading sicp) ",lisp scheme
154,as a bare minimum:  mscoree.lib msvcrt.lib mfc90.lib (adjust version appropriately)  and iterate from there. ,linker c++-cli mixed-mode
155,"declaration  a prototype for a function which takes a function parameter looks like the following:  void func ( void (*f)(int) );   this states that the parameter f will be a pointer to a function which has a void return type and which takes a single int parameter. the following function (print) is an example of a function which could be passed to func as a parameter because it is the proper type:  void print ( int x ) {   printf(""%d\n"", x); }   function call  when calling a function with a function parameter, the value passed must be a pointer to a function. use the function's name (without parentheses) for this:  func(print);   would call func, passing the print function to it.  function body  as with any parameter, func can now use the parameter's name in the function body to access the value of the parameter. let's say that func will apply the function it is passed to the numbers 0-4. consider, first, what the loop would look like to call print directly:  for ( int ctr = 0 ; ctr &lt; 5 ; ctr++ ) {   print(ctr); }   since func's parameter declaration says that f is the name for a pointer to the desired function, we recall first that if f is a pointer then *f is the thing that f points to (i.e. the function print in this case). as a result, just replace every occurrence of print in the loop above with *f:  void func ( void (*f)(int) ) {   for ( int ctr = 0 ; ctr &lt; 5 ; ctr++ ) {     (*f)(ctr);   } }   from http://math.hws.edu/bridgeman/courses/331/f05/handouts/c-c++-notes.html ",c function pointers syntax parameters
156,"if i understand the question correctly, you've created a domain model and you would like to write an object-relational mapper to map between records in your database and your domain objects. however, you're concerned about polluting your domain model with the 'plumbing' code that would be necessary to read and write to your object's fields.  taking a step back, you essentially have two choices of where to put your data mapping code - within the domain class itself or in an external mapping class. the first option is often called the active record pattern and has the advantage that each object knows how to persist itself and has sufficient access to its internal structure to allow it to perform the mapping without needing to expose non-business related fields.  e.g  public class user {  private string name;  private accountstatus status;   private user()  {  }   public string name  {   get { return name; }   set { name = value; }  }   public accountstatus status  {   get { return status; }  }   public void activate()  {   status = accountstatus.active;  }   public void suspend()  {   status = accountstatus.suspended;  }   public static user getbyid(int id)  {   user fetcheduser = new user();    // lots of database and error-checking code   // omitted for clarity   // ...    fetcheduser.name = (string) reader[""name""];   fetcheduser.status = (int)reader[""statuscode""] == 0   accountstatus.suspended : accountstatus.active;    return fetcheduser;  }   public static void save(user user)  {   // code to save user's internal structure to database   // ...  } }   in this example, we have an object that represents a user with a name and an accountstatus. we don't want to allow the status to be set directly, perhaps because we want to check that the change is a valid status transition, so we don't have a setter. fortunately, the mapping code in the getbyid and save static methods have full access to the object's name and status fields.  the second option is to have a second class that is responsible for the mapping. this has the advantage of seperating out the different concerns of business logic and persistence which can allow your design to be more testable and flexible. the challenge with this method is how to expose the name and status fields to the external class. some options are:   1. use reflection (which has no qualms about digging deep into your object's private parts)   2. provide specially-named, public setters (e.g. prefix them with the word 'private') and hope no one uses them accidentally   3. if your language suports it, make the setters internal but grant your data mapper module access. e.g. use the internalsvisibletoattribute in .net 2.0 onwards or friend functions in c++  for more information, i'd recommend martin fowler's classic book 'patterns of enterprise architecture'  however, as a word of warning, before going down the path of writing your own mappers i'd strongly recommend looking at using a 3rd-party object relational mapper (orm) tool such as nhibernate or microsoft's entity framework. i've worked on four different projects where, for various reasons, we wrote our own mapper and it is very easy to waste a lot of time maintaining and extending the mapper instead of writing code that provides end user value. i've used nhibernate on one project so far and, although it has quite a steep learning curve initially, the investment you put in early on pays off considerably. ",architecture
157,"you should check out the qtkit capture documentation.  on leopard, you can get at all of it over the rubycocoa bridge:  require 'osx/cocoa' osx.require_framework(""/system/library/frameworks/qtkit.framework"")  osx::qtcapturedevice.inputdevices.each do |device|     puts device.localizeddisplayname end  ",objective-c osx webcam isight
158,"unfortunately, the ""full"" sharepoint experience is limited to running internet explorer 6/7 and office 2007.  on the mac, i recommend using firefox (camino ) which seems to work a bit better than safari.  edit: when you say ""similar experience"", what exactly are you missing  i don't have any mac here, but i was under the impression that office 2008 will have a working integration with sharepoint as well. ",sharepoint osx wss
159,"i believe you can set the desired solution up by rerunning the vmware configuration script.  and doing a custom network setup, so that both nic's are mapped to your vmware instance.  i would recommend making eth0 the 2nd nic since it will be easier for linux to use by default.  then make eth1 the 1st nic. ",linux vmware sysadmin nic
160,"answered my own question:  use the netserverenum function, passing in the sv_type_domain_enum constant for the ""servertype"" argument.  in delphi, the code looks like this:  &lt;snip&gt; type   net_api_status = dword;   pserver_info_100 = ^server_info_100;   server_info_100 = packed record     sv100_platform_id : dword;     sv100_name        : pwidechar; end;  function netserverenum(  //get a list of pcs on the network (same as dos cmd ""net view"")   const servername    : pwidechar;   const level         : dword;   const bufptr        : pointer;   const prefmaxlen    : dword;   const entriesread   : pdword;   const totalentries  : pdword;   const servertype    : dword;   const domain        : pwidechar;   const resume_handle : pdword ) : net_api_status; stdcall; external 'netapi32.dll';  function netapibufferfree(  //memory mgmt routine   const buffer : pointer ) : net_api_status; stdcall; external 'netapi32.dll';  const   max_preferred_length = dword(-1);   nerr_success = 0;   sv_type_all  = $ffffffff;   sv_type_domain_enum = $80000000;   function tnetwork.computersindomain: tstringlist; var   pbuffer        : pserver_info_100;   pwork          : pserver_info_100;   dwentriesread  : dword;   dwtotalentries : dword;   i              : integer;   dwresult       : net_api_status; begin   result := tstringlist.create;   result.clear;    dwresult := netserverenum(nil,100,@pbuffer,max_preferred_length,                             @dwentriesread,@dwtotalentries,sv_type_domain_enum,                             pwidechar(fdomainname),nil);    if dwresult = nerr_success then begin     try       pwork := pbuffer;       for i := 1 to dwentriesread do begin         result.add(pwork.sv100_name);         inc(pwork);       end;  //for i     finally       netapibufferfree(pbuffer);     end;  //try-finally   end  //if no error   else begin     raise exception.create('error while retrieving computer list from domain ' +                            fdomainname + #13#10 +                            syserrormessage(dwresult));   end; end; &lt;snip&gt;  ",winapi
161,"copy any applicable preferences files in ~/library/preferences from a machine that you have checked ""don't show again"" on. ",osx adobe applescript acrobat
162,"there is an actual data type called keyvaluepair, use like this  keyvaluepair&lt;string, string&gt; mykeyvaluepair = new keyvaluepair&lt;string,string&gt;(""defaultkey"", ""defaultvalue"");  ",c# data-structures collections
163,"i've got something similar set up: i have a main ant build.xml which calls a separate build.xml that takes care of building my tests. this is how i do it:  &lt;target name=""build-tests""&gt;     &lt;subant target=""build""&gt;       &lt;fileset dir=""${test.home}"" includes=""build.xml""/&gt;     &lt;/subant&gt; &lt;/target&gt;   the trick is to use subant instead of antcall. you don't have to import the other build file. ",ant build-process
164,"i've used event-based apis for plugins in the past. you can insert hooks for plugins by dispatching events and providing access to the application state.  for example, if you were writing a blogging application, you might want to raise an event just before a new post is saved to the database, and provide the post html to the plugin to alter as needed. ",plugins extensibility
165,"linq stands for language integrated query and is a set of extensions for .net that allow you to query data the same way from code and isn't tied to a specific data source.  you can use the same linq code for sql server, xml, objects, datasets, and entities.  here is a good intro from scott guthrie  this is a nice set of 101 linq samples ",linq .net-3.5
166,"trust me, you will spend more money trying to search/develop a solution for this as compared to buying a third party component. do not reinvent the wheel and go for the paid solution.  printing is a complex problem and i would love to see the day when better framework support is added for this. ",c# .net windows-services printing
167,"a) must look the same  b) as standards-compliant as possible, but not so anal that it blocks finishing work  in a situation where you have perpetual access to the code, i don't think standards-compliance is all that important, since you can always make changes to the code if something breaks. if you don't have perpetual access (ie, you sign off on the code and it becomes someone else's responsibility), it's probably best to be as standards-compliant as possible to minimize maintenance headaches later... even if you never have to deal with the code again, your reputation persists and can be transmitted to other potential clients, and many teams like to blame the previous developer(s) for problems that come up. ",css validation xhtml cross-browser w3c
168,"you need to use an ifstream if you just want to read (use an ofstream to write, or an fstream for both).  to open a file in text mode, do the following:  ifstream in(""filename.ext"", ios_base::in); // the in flag is optional   to open a file in binary mode, you just need to add the ""binary"" flag.  ifstream in2(""filename2.ext"", ios_base::in | ios_base::binary );    use the ifstream.read() function to read a block of characters (in binary or text mode).  use the getline() function (it's global) to read an entire line. ",c++ file io
169,"maybe you should take a look at izpack. i created a very nice installer some years ago and i'd bet that they are still improving it. it allows the installation of docs, binaries and a clickable link to start the application iirc. ",java windows swt executable software-distribution
170,"it's probably the awesome firefox3 fsync ""bug"", which is a giant pile of fail.  in summary   firefox3 saves its bookmarks and history in an sqlite database every time you load a page it writes to this database several times sqlite cares deeply that you don't lose your bookmarks, so each time it writes, instructs the kernel to flush it's database file to disk and ensure that it's fully written many variants of linux, when told to flush like that, flush every file. this may take up to a minute or more if you have background tasks doing any kind of disk intensive stuff. the kernel makes firefox wait while this flush happens, which locks up the ui.  ",javascript firefox memory cpu
171,"my eventual (and hopefully temporary) solution to this problem was a python cgi script.  my script follows for anyone who might find it useful (despite the fact that this is a total hack).    # /usr/bin/python """"""a cgi script to produce an rss feed of top-level gallery2 albums.""""""  #import cgi #import cgitb; cgitb.enable() from time import gmtime, strftime import mysqldb  album_query = '''     select g_id, g_title, g_originationtimestamp     from g_item     where g_cancontainchildren = 1      order by g_originationtimestamp desc     limit 0, 20     '''  rss_template = '''content-type: text/xml  &lt; xml version=""1.0"" &gt; &lt;rss version=""2.0""&gt;   &lt;channel&gt;     &lt;title&gt;title&lt;/title&gt;     &lt;link&gt;&lt;http://example.com/gallery2/main.php&gt;&lt;/link&gt;     &lt;description&gt;description&lt;/description&gt;     &lt;ttl&gt;1440&lt;/ttl&gt; %s   &lt;/channel&gt; &lt;/rss&gt; '''  item_template = '''     &lt;item&gt;       &lt;title&gt;%s&lt;/title&gt;       &lt;link&gt;&lt;http://example.com/gallery2/main.php g2_itemid=%s&gt;&lt;/link&gt;       &lt;description&gt;%s&lt;/description&gt;       &lt;pubdate&gt;%s&lt;/pubdate&gt;     &lt;/item&gt; '''  def to_item(row):     item_id = row[0]     title = row[1]     date = strftime(""%a, %d %b %y %h:%m:%s gmt"", gmtime(row[2]))     return item_template % (title, item_id, title, date)  conn = mysqldb.connect(host = ""host"",                        user = ""user"",                        passwd = ""password"",                        db = ""database"") curs = conn.cursor() curs.execute(album_query) print rss_template % ''.join([ to_item(row) for row in curs.fetchall() ]) curs.close()  ",php web-applications
172,"we use watin at my place of employment, we are a .net shop so this solution made a lot of sense.  we actually started with watir (the original ruby implementation) and switched after.  it's been a pretty good solution for us so far ",unit-testing user-interface selenium
173,"if you have ssh installed, you should be able to run..  ssh-keygen   then go through the steps, you'll have two files, id_rsa and id_rsa.pub (the first is your private key, the second is your public key - the one you copy to remote machines)  then, connect to the remote machine you want to login to, to the file ~/.ssh/authorized_keys add the contents of your that id_rsa.pub file.  oh, and chmod 600 all the id_rsa* files (both locally and remote), so no other users can read them:  chmod 600 ~/.ssh/id_rsa*   similarly, ensure the remote ~/.ssh/authorized_keys file is chmod 600 also:  chmod 600 ~/.ssh/authorized_keys   then, when you do ssh remote.machine, it should ask you for the key's password, not the remote machine.    to make it nicer to use, you can use ssh-agent to hold the decrypted keys in memory - this means you don't have to type your keypair's password every single time. to launch the agent, you run (including the back-tick quotes, which eval the output of the ssh-agent command)  `ssh-agent`   on some distros, ssh-agent is started automatically. if you run echo $ssh_auth_sock and it shows a path (probably in /tmp/) it's already setup, so you can skip the previous command.  then to add your key, you do  ssh-add ~/.ssh/id_rsa   and enter your passphrase. it's stored until you remove it (using the ssh-add -d command, which removes all keys from the agent) ",linux ssh
174,"we use cruisecontrol with nunit, ncover, fxcop, svn and some custom tools we wrote ourselves to produce the reports. in my opinion it has proven (over the last few years) to be an excellent combination.  it's frustrating that ms restricts all of its integration tools to vsts.  its test framework is as good as nunit, but you can't use its code coverage tools or anything else.  i'd check out xnuit - it's looking pretty promising (but currently lacking ui).  we automate nightly builds, and you could automate uat and manual test builds, but i'm not sure that we'd ever want to automate the release to our production servers. even if it were any change would be important enough that someone would have to watch over it anyway. ",svn continuous-integration
175,silverlight springs to mind as an obvious choice if you want to do animation using .net on the web. it may not cover all platforms but will work in ie and firefox and on the mac. ,.net animation
176,"how much order do you need to impose on the threads  if you just need all of the work started in the loop to finish before the code continues, but you don't care about the order the work within the loop finishes, then calling join is the answer. to add more detail to kevin kenny's answer, you should call join outside the loop. this means you will need a collection to hold references to the threads you started:  // start all of the threads. list&lt;thread&gt; startedthreads = new list&lt;thread&gt;(); foreach (...) {   thread thread = new thread(new threadstart(mymethod));   thread.start();   startedthreads.add(thread); }  // wait for all of the threads to finish. foreach (thread thread in startedthreads) {   thread.join(); }   in contrast, if you called join inside the loop, the result would basically be the same as not using threads at all. each iteration of the loop body would create and start a thread but then immediately join it and wait for it to finish.  if the individual threads produce some result (write a message in a log, for example) then the messages may still appear out of order because there's no coordination between the threads. it is possible to get the threads to output their results in order by coordinating them with a monitor. ",c# multithreading compact-framework
177,app_data folder on the root of the project. it isn't served to web requests; so other people can't snoop for it.,asp.net logging permissions
178,"that's one of the sad reasons i'm still targeting .net 2.0 whenever possible :/  but people don't neccessarily need the full 200 mb package. there is a 3 mb bootstrapper which will only download the required components:  .net 3.5 sp1 bootstrapper  however, the worst case scenario is still a pretty hefty download. also, see this article for a more detailed explanation on the size and an alternative workaround to the size problem.  addition: since answering this question, scott hanselman created smallestdotnet.com, which will determine the smallest required download. doesn't change the worst case scenario, but is still useful to know. ",.net redistributable
179,foreach(var row in datagrid1.rows) {   dostuff(row); } //or ---------------------------------------------    foreach(datagridrow row in datagrid1.rows) {   dostuff(row); } //or --------------------------------------------- for(int i = 0; i&lt; datagrid1.rows.count - 1; i++) {   dostuff(datagrid1.rows[i]); }  ,winforms
180,"you defined the primary key twice. try:  create table shipping_grid(       id int not null auto_increment primary key comment 'unique id for each row',       shipping_vendor_no int(6) not null comment 'foreign key to vendor.no for the shipping vendor (vendors_type must be 3)',       start_vendor_no int(6) not null comment 'foreign key to vendor.no for the vendor being shipped from',       end_vendor_no int(6) not null comment 'foreign key to the vendor.no for the vendor being shipped to',       shipment_duration int(1) default 1 comment 'duration in whole days shipment will take',       price float(5,5) not null comment 'price in us dollars per shipment lbs (down to 5 decimal places)',       is_flat_rate tinyint(1) default 0 comment '1 if is flat rate regardless of weight, 0 if price is by lbs',       index (shipping_vendor_no),       index (start_vendor_no),       index (end_vendor_no),       foreign key (shipping_vendor_no) references vendor (no),       foreign key (start_vendor_no) references vendor (no),       foreign key (end_vendor_no) references vendor (no)   ) type = innodb;   the vendor primary key must be int(6), and both tables must be of type innodb. ",sql mysql foreign-keys
181,"from a high level, yes.  :d  the main thing is some place to store the templates.  a database is a great option unless you're not already using one, then file systems work fine.    wsiwig editors (such as fckeditor) work well and give you some good options regarding the features that you allow.    some sort of token replacement system is also a good idea if you need it.  for example, if someone puts %firstname% in the email template, the code that generates the email can do some simple pattern matching to replace known tokens with other known values that may be dynamic based on user or other circumstances.",.net email
